material,voxel_size_m,nodes,bonds,dt_label,dt_s,steps,repeats,accepted_steps,outer_min,outer_max,linear_min,linear_max,max_velocity_residual_m_s,wall_min_ms,wall_med_ms,wall_p95_ms,wall_max_ms,realtime_ratio_med,status
oak,0.04,1285,17097,1/60,0.016666666666666666,12,3,0/1,7,7,1739,1739,2.81393e-09,232.4542,232.4542,232.4542,232.4542,13.95,rejected
oak,0.04,1285,17097,1/120,0.008333333333333333,12,3,36/36,4,4,438,598,9.68401e-10,56.8620,64.7737,83.3224,84.4085,7.773,ok
oak,0.04,1285,17097,1/240,0.004166666666666667,12,3,36/36,4,4,346,387,4.02858e-10,43.7988,48.1343,53.3534,54.4236,11.55,ok
oak,0.04,1285,17097,2ms,0.002,12,3,36/36,4,4,284,401,5.50267e-11,37.3119,40.7850,58.9987,59.6390,20.39,ok
oak,0.04,1285,17097,1/480,0.0020833333333333333,12,3,36/36,4,4,385,551,6.19923e-11,51.6525,63.2426,77.2877,78.7357,30.36,ok
oak,0.04,1285,17097,1/960,0.0010416666666666667,12,3,36/36,3,3,224,235,1.30138e-11,30.4215,32.7671,36.6962,37.0583,31.46,ok
oak,0.035,1863,25385,1/30,0.03333333333333333,12,3,0/1,41,41,15705,15705,1.6109e-08,3055.2536,3055.2536,3055.2536,3055.2536,91.66,rejected
oak,0.035,1863,25385,1/60,0.016666666666666666,12,3,0/1,6,6,1578,1578,4.45263e-09,315.6028,315.6028,315.6028,315.6028,18.94,rejected
oak,0.035,1863,25385,1/120,0.008333333333333333,12,3,0/1,7,7,1405,1405,1.1735e-09,290.6276,290.6276,290.6276,290.6276,34.88,rejected
oak,0.035,1863,25385,1/240,0.004166666666666667,12,3,36/36,4,4,422,427,4.35732e-10,80.8466,87.3537,94.2663,96.0113,20.96,ok
oak,0.035,1863,25385,2ms,0.002,12,3,36/36,3,3,431,590,7.24678e-11,83.3656,90.2980,115.5511,119.4091,45.15,ok
oak,0.035,1863,25385,1/480,0.0020833333333333333,12,3,36/36,3,4,438,603,9.047e-11,84.2266,93.8042,123.6031,123.6464,45.03,ok
oak,0.035,1863,25385,1/960,0.0010416666666666667,12,3,36/36,3,3,396,437,2.22356e-11,74.9757,83.0608,88.6289,90.9000,79.74,ok
oak,0.03,2945,41125,1/30,0.03333333333333333,12,3,0/1,256,256,101721,101721,1.39965e-06,28933.3733,28933.3733,28933.3733,28933.3733,868,rejected
oak,0.03,2945,41125,1/60,0.016666666666666666,12,3,0/1,256,256,102074,102074,2.66014e-07,29237.6711,29237.6711,29237.6711,29237.6711,1754,rejected
oak,0.03,2945,41125,1/120,0.008333333333333333,12,3,0/1,8,8,2609,2609,1.95663e-09,844.3990,844.3990,844.3990,844.3990,101.3,rejected
oak,0.03,2945,41125,1/240,0.004166666666666667,12,3,36/36,4,4,352,356,6.5789e-10,113.1940,120.0365,130.8011,133.4648,28.81,ok
oak,0.03,2945,41125,2ms,0.002,12,3,36/36,4,4,599,1096,9.47779e-10,196.0300,218.8226,358.2976,358.8254,109.4,ok
oak,0.03,2945,41125,1/480,0.0020833333333333333,12,3,36/36,4,4,527,1094,3.5493e-10,167.7229,201.5587,356.0994,356.1020,96.75,ok
oak,0.03,2945,41125,1/960,0.0010416666666666667,12,3,36/36,3,3,487,725,2.98838e-11,154.8845,217.9050,236.0953,236.9146,209.2,ok
iron,0.25,19,117,1/30,0.03333333333333333,12,3,36/36,9,9,156,160,3.62831e-10,0.1883,0.1928,0.5347,0.5355,0.005785,ok
iron,0.25,19,117,1/60,0.016666666666666666,12,3,36/36,5,5,61,65,1.44436e-10,0.0735,0.0793,0.1242,0.1257,0.004755,ok
iron,0.25,19,117,1/120,0.008333333333333333,12,3,36/36,4,4,32,56,9.95678e-10,0.0446,0.0558,0.1255,0.2545,0.006696,ok
iron,0.25,19,117,1/240,0.004166666666666667,12,3,36/36,4,4,31,32,1.50543e-11,0.0443,0.0451,0.0904,0.0908,0.01082,ok
iron,0.25,19,117,2ms,0.002,12,3,36/36,3,3,35,37,1.09731e-12,0.0471,0.0490,0.0891,0.0942,0.02452,ok
iron,0.25,19,117,1/480,0.0020833333333333333,12,3,36/36,3,3,35,37,1.4251e-12,0.0464,0.0488,0.0959,0.1000,0.0234,ok
iron,0.25,19,117,1/960,0.0010416666666666667,12,3,36/36,3,3,18,18,2.26946e-10,0.0286,0.0317,0.1750,0.3951,0.03043,ok
iron,0.2,27,185,1/30,0.03333333333333333,12,3,36/36,10,12,226,296,9.59673e-10,0.3957,0.4942,0.8251,0.9604,0.01483,ok
iron,0.2,27,185,1/60,0.016666666666666666,12,3,36/36,5,5,82,118,8.74399e-10,0.1599,0.2341,0.3972,0.5508,0.01405,ok
iron,0.2,27,185,1/120,0.008333333333333333,12,3,36/36,4,4,70,70,7.93072e-11,0.1380,0.1501,0.1755,0.1791,0.01801,ok
iron,0.2,27,185,1/240,0.004166666666666667,12,3,36/36,4,4,40,40,4.0884e-11,0.0738,0.0748,0.1291,0.1434,0.01795,ok
iron,0.2,27,185,2ms,0.002,12,3,36/36,3,3,44,46,3.91695e-12,0.0782,0.0820,0.1308,0.1320,0.041,ok
iron,0.2,27,185,1/480,0.0020833333333333333,12,3,36/36,3,3,44,46,3.71575e-12,0.0781,0.0822,0.1461,0.1877,0.03943,ok
iron,0.2,27,185,1/960,0.0010416666666666667,12,3,36/36,3,3,22,45,8.14603e-10,0.0469,0.0510,0.1799,0.2208,0.04901,ok
iron,0.12,81,773,1/30,0.03333333333333333,12,3,36/36,79,80,3751,4058,9.40151e-10,31.5676,33.1643,37.9448,41.4385,0.9949,ok
