material,damping_kg_s,comparison,first_experiment,second_experiment,time_s,position_rms_m,velocity_rms_m_s,position_max_m,velocity_max_m_s,com_position_difference_m,com_velocity_difference_m_s,internal_kinetic_difference_j,body_elastic_difference_j
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0002,8.93571835601364e-16,1.0085800436207284e-10,2.5766384504411325e-15,2.527418179125719e-09,6.38452966490116e-16,0.0,2.6195842140591123e-18,3.3707230603203e-18
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0003,8.629320297509316e-16,1.3514247899345e-10,2.6109795526099966e-15,3.4453019493231176e-09,6.457217896022937e-16,0.0,4.7032209921836444e-18,3.6695276308549e-18
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0004,8.231439534686403e-16,1.1634194587999547e-10,4.681588978127104e-15,2.3418179759284117e-09,6.433144805033607e-16,3.3422138886441676e-16,3.4413949921225372e-18,4.032651046196199e-18
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0005,8.204398409179041e-16,1.3138684534609248e-10,2.854104639423764e-15,3.663776121818089e-09,6.469716322378164e-16,6.4796043696850615e-16,4.421315141701184e-18,3.152506084597e-18
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0006,8.425646609623784e-16,1.2191487427653333e-10,4.583369225951387e-15,2.556311560360266e-09,6.472222835795274e-16,2.618455766672135e-16,3.7893449576301135e-18,3.8465117614738e-18
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0007,8.554138414929437e-16,1.185491542259806e-10,4.6764850365953675e-15,3.264637070395373e-09,6.456968040793387e-16,7.406111315403549e-16,3.58243303663881e-18,4.1860428893706e-18
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0008,8.302309790493193e-16,1.2151385521395682e-10,5.7757778996179055e-15,2.4654436512356855e-09,6.455070141268056e-16,4.577566798522237e-16,3.696916407730923e-18,4.1827909206319e-18
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0009,8.743406578977208e-16,1.3766854711373358e-10,5.440889319052701e-15,4.7857809956708364e-09,6.436723052399791e-16,7.108895957933346e-16,4.7505056310255715e-18,4.6277891962806e-18
iron,10000,fixed_comparison,adaptive-1000,fixed,0.001,8.881356606813251e-16,1.3296980125254035e-10,5.806904892565739e-15,3.4078398177780296e-09,6.405685409676949e-16,6.12945927330694e-15,4.5514754495599044e-18,4.8703476894477006e-18
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0011,1.6902259314393947e-09,0.0005646554766028229,2.1199535479726647e-08,0.017724941828155736,1.8918862796963272e-11,1.1059493167930867e-06,3.5560458742728285e-05,0.0010342770000000279
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0012,2.5275373810721275e-09,0.0007199076762428868,3.203205999666527e-08,0.016015556245022506,2.394565059174031e-11,2.1380970871565097e-07,0.00011913340495925406,0.00039090052999979363
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0013,3.4776394947326303e-09,0.0009403182944716756,2.5850866850702725e-08,0.022924254402939583,2.0805521377253787e-11,3.2277266668323534e-06,0.00024663860181113606,0.005454610330000165
iron,10000,fixed_comparison,adaptive-1000,fixed,0.0014,3.750550317906817e-09,0.0009569287603577089,5.032694609885352e-08,0.016421613183260898,1.7374639064577186e-11,7.167191640178316e-07,0.00023312484021535684,0.0017646776499997685
